Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,29.190001,29.190001,28.879999,28.910000,24.579557,1315700
2015-01-02,28.940001,28.980000,28.709999,28.799999,24.486034,1098400
2015-01-05,28.469999,28.500000,28.070000,28.160000,23.941898,1395500
2015-01-06,28.139999,28.209999,27.740000,27.850000,23.678335,1018400
2015-01-07,28.020000,28.170000,27.850000,28.110001,23.899389,682000
2015-01-08,28.240000,28.570000,28.240000,28.480000,24.213966,818000
2015-01-09,28.500000,28.510000,28.219999,28.350000,24.103441,1858400
2015-01-12,28.379999,28.379999,28.120001,28.240000,24.009916,2044200
2015-01-13,28.610001,28.629999,28.160000,28.389999,24.137445,879800
2015-01-14,28.270000,28.350000,28.049999,28.290001,24.052427,1203600
2015-01-15,28.629999,28.660000,28.400000,28.410000,24.154453,911300
2015-01-16,28.469999,28.799999,28.420000,28.760000,24.452026,559000
2015-01-20,29.010000,29.049999,28.730000,28.850000,24.528543,1026200
2015-01-21,28.889999,29.070000,28.840000,29.059999,24.707090,493600
2015-01-22,29.010000,29.260000,28.920000,29.180000,24.809113,893300
2015-01-23,29.160000,29.200001,29.010000,29.010000,24.664576,726300
2015-01-26,29.219999,29.430000,29.150000,29.360001,24.962149,722000
2015-01-27,29.280001,29.490000,29.260000,29.410000,25.004660,752700
2015-01-28,29.459999,29.469999,28.959999,28.980000,24.639072,828400
2015-01-29,29.170000,29.340000,29.059999,29.330000,24.936644,746100
2015-01-30,29.070000,29.170000,28.900000,28.930000,24.596560,844300
2015-02-02,29.139999,29.360001,29.020000,29.309999,24.919640,865700
2015-02-03,29.480000,29.799999,29.469999,29.740000,25.285231,880400
2015-02-04,29.580000,29.709999,29.480000,29.500000,25.081181,651900
2015-02-05,29.709999,29.889999,29.650000,29.870001,25.395756,1001300
2015-02-06,29.680000,29.719999,29.410000,29.490000,25.072678,682900
2015-02-09,29.350000,29.500000,29.330000,29.370001,24.970654,1317700
2015-02-10,29.580000,29.620001,29.410000,29.580000,25.149197,1154000
2015-02-11,29.420000,29.510000,29.309999,29.459999,25.047171,708700
2015-02-12,29.639999,29.910000,29.639999,29.900000,25.421265,389000
2015-02-13,30.080000,30.100000,30.000000,30.100000,25.591309,693400
2015-02-17,30.129999,30.240000,30.000000,30.200001,25.676329,553000
2015-02-18,30.280001,30.410000,30.200001,30.340000,25.795355,488900
2015-02-19,30.340000,30.430000,30.270000,30.330000,25.786854,801400
2015-02-20,30.280001,30.690001,30.200001,30.629999,26.041918,741200
2015-02-23,30.520000,30.520000,30.420000,30.490000,25.922886,625300
2015-02-24,30.510000,30.719999,30.420000,30.670000,26.075924,1045700
2015-02-25,30.670000,30.750000,30.610001,30.709999,26.109930,536200
2015-02-26,30.680000,30.719999,30.600000,30.639999,26.050417,541800
2015-02-27,30.670000,30.750000,30.610001,30.629999,26.041918,723300
2015-03-02,30.660000,30.700001,30.590000,30.680000,26.084425,1103700
2015-03-03,30.620001,30.690001,30.450001,30.520000,25.948399,596200
2015-03-04,30.370001,30.440001,30.190001,30.410000,25.854872,743100
2015-03-05,30.549999,30.559999,30.420000,30.480000,25.914383,528400
2015-03-06,30.309999,30.309999,30.020000,30.059999,25.557297,611400
2015-03-09,30.110001,30.120001,30.000000,30.080000,25.574299,553200
2015-03-10,29.670000,29.690001,29.430000,29.450001,25.038670,935400
2015-03-11,29.440001,29.570000,29.389999,29.510000,25.089684,572200
2015-03-12,29.830000,29.920000,29.740000,29.860001,25.387255,572500
2015-03-13,29.670000,29.709999,29.500000,29.690001,25.242722,705300
2015-03-16,29.910000,30.059999,29.860001,30.010000,25.514788,654300
2015-03-17,29.870001,29.990000,29.799999,29.969999,25.480778,1079500
2015-03-18,29.920000,30.639999,29.900000,30.570000,25.990900,925900
2015-03-19,30.240000,30.320000,30.150000,30.219999,25.693331,487800
2015-03-20,30.639999,30.959999,30.620001,30.860001,26.237467,635700
2015-03-23,30.950001,31.049999,30.900000,31.010000,26.364996,638300
2015-03-24,31.100000,31.110001,30.980000,30.990000,26.347994,777100
2015-03-25,31.129999,31.139999,30.799999,30.830000,26.211962,1183500
2015-03-26,30.620001,30.639999,30.389999,30.559999,25.982401,503600
2015-03-27,30.500000,30.629999,30.490000,30.590000,26.007910,525700
2015-03-30,30.629999,30.709999,30.620001,30.650000,26.058922,695400
2015-03-31,30.250000,30.370001,30.170000,30.230000,25.701834,921400
2015-04-01,30.410000,30.469999,30.200001,30.410000,25.854872,1448800
2015-04-02,30.610001,30.719999,30.580000,30.670000,26.075924,610400
2015-04-06,30.799999,31.150000,30.740000,30.990000,26.347994,755200
2015-04-07,31.070000,31.190001,30.959999,30.969999,26.330988,701300
2015-04-08,31.209999,31.299999,31.020000,31.100000,26.441515,603600
2015-04-09,31.139999,31.170000,31.030001,31.160000,26.492529,762900
2015-04-10,31.129999,31.230000,31.100000,31.230000,26.552040,589200
2015-04-13,31.120001,31.180000,31.020000,31.059999,26.407507,588800
2015-04-14,31.270000,31.340000,31.200001,31.290001,26.603056,494300
2015-04-15,31.400000,31.530001,31.290001,31.480000,26.764593,694000
2015-04-16,31.559999,31.639999,31.389999,31.559999,26.832613,796100
2015-04-17,31.219999,31.290001,31.070000,31.200001,26.526533,735100
2015-04-20,31.260000,31.340000,31.209999,31.250000,26.569048,686500
2015-04-21,31.510000,31.549999,31.430000,31.469999,26.756092,797200
2015-04-22,31.559999,31.570000,31.360001,31.549999,26.824110,485000
2015-04-23,31.410000,31.740000,31.389999,31.700001,26.951643,543900
2015-04-24,31.830000,31.900000,31.680000,31.840000,27.070673,415000
2015-04-27,32.070000,32.150002,31.959999,32.000000,27.206703,922100
2015-04-28,31.950001,32.049999,31.830000,32.040001,27.240711,553800
2015-04-29,31.860001,31.889999,31.680000,31.780001,27.019661,929100
2015-04-30,31.530001,31.639999,31.410000,31.450001,26.739092,716200
2015-05-01,31.610001,31.719999,31.490000,31.709999,26.960140,1437500
2015-05-04,31.680000,31.799999,31.610001,31.730000,26.977146,646000
2015-05-05,31.600000,31.650000,31.270000,31.299999,26.611557,815300
2015-05-06,31.469999,31.469999,31.219999,31.309999,26.620056,661800
2015-05-07,31.240000,31.260000,31.090000,31.219999,26.543541,607300
2015-05-08,31.700001,31.920000,31.690001,31.879999,27.104677,415100
2015-05-11,31.690001,31.760000,31.590000,31.639999,26.900629,500400
2015-05-12,31.600000,31.670000,31.510000,31.610001,26.875124,513400
2015-05-13,31.900000,31.980000,31.770000,31.799999,27.036661,732500
2015-05-14,32.080002,32.169998,32.029999,32.160000,27.342737,649600
2015-05-15,32.119999,32.220001,32.000000,32.200001,27.376749,484000
2015-05-18,32.070000,32.119999,32.000000,32.080002,27.274727,762900
2015-05-19,32.000000,32.049999,31.940001,31.969999,27.181198,543500
2015-05-20,31.969999,32.139999,31.950001,32.020000,27.223709,545000
2015-05-21,32.099998,32.240002,32.040001,32.180000,27.359743,613100
2015-05-22,32.049999,32.070000,31.969999,31.990000,27.198200,372400
2015-05-26,31.770000,31.860001,31.400000,31.469999,26.756092,792000
2015-05-27,31.530001,31.719999,31.459999,31.700001,26.951643,714600
2015-05-28,31.570000,31.670000,31.410000,31.660000,26.917633,559800
2015-05-29,31.549999,31.600000,31.219999,31.350000,26.654070,594500
2015-06-01,31.459999,31.459999,31.150000,31.230000,26.552040,1247100
2015-06-02,31.370001,31.559999,31.290001,31.420000,26.713583,569500
2015-06-03,31.549999,31.690001,31.500000,31.570000,26.841114,544100
2015-06-04,31.410000,31.559999,31.150000,31.230000,26.552040,2158300
2015-06-05,30.870001,31.020000,30.750000,30.930000,26.296984,1479300
2015-06-08,30.910000,30.920000,30.740000,30.840000,26.220461,1300700
