Date,Close
12/31/2011,24.84
1/31/2012,26.06
2/29/2012,26.04
3/31/2012,25.57
4/30/2012,22.71
5/31/2012,24.17
6/30/2012,24.21
7/31/2012,25.1
8/31/2012,25.82
9/30/2012,26.16
10/31/2012,26.66
11/30/2012,27.11
12/31/2012,27.82
1/31/2013,27.54
2/28/2013,27.84
3/31/2013,29.03
4/30/2013,28.17
5/31/2013,27.24
6/30/2013,28.83
7/31/2013,28.31
8/31/2013,30.39
9/30/2013,31.35
10/31/2013,31.58
11/30/2013,31.53
12/31/2013,30.04
1/31/2014,31.53
2/28/2014,31.5
3/31/2014,31.98
4/30/2014,32.51
5/31/2014,32.98
6/30/2014,32.29
7/31/2014,32.41
8/31/2014,31.02
9/30/2014,30.89
10/31/2014,30.88
11/30/2014,28.91
12/31/2014,28.93
1/31/2015,30.63
2/28/2015,30.23
3/31/2015,31.45
4/30/2015,31.35
5/31/2015,30.47
6/30/2015,30.73
7/31/2015,28.61
8/31/2015,27.37
9/30/2015,29.17
10/31/2015,28.89
11/30/2015,27.56
12/31/2015,26.07
1/31/2016,25.3
2/29/2016,27.11
3/31/2016,27.75
4/30/2016,27.65
5/31/2016,27.11
6/30/2016,28.21
7/31/2016,28.38
8/31/2016,28.79
9/30/2016,28.15
10/31/2016,27.72
11/30/2016,27.68
12/31/2016,28.69
1/31/2017,28.97
2/28/2017,29.87
3/31/2017,30.51
4/30/2017,31.57
5/31/2017,31.78
6/30/2017,32.69
7/31/2017,32.65
8/31/2017,33.47
9/30/2017,34.08
10/31/2017,34.34
11/30/2017,34.07
12/31/2017,35.72
1/31/2018,33.82
2/28/2018,33.71
3/31/2018,34.19
4/30/2018,33.61
5/31/2018,33.05
6/30/2018,33.88
7/31/2018,33.24
8/31/2018,33.53
9/30/2018,30.71
10/31/2018,30.87
11/30/2018,28.35
12/31/2018,30.39
1/31/2019,31.12
2/28/2019,31.31
3/31/2019,32.21
4/30/2019,30.53
5/31/2019,32.09
6/30/2019,31.46
7/31/2019,30.87
8/31/2019,31.86
9/30/2019,32.86
10/31/2019,33.27
11/30/2019,33.63
12/31/2019,32.67
1/31/2020,30.26
2/29/2020,25.84
3/31/2020,27.45
4/30/2020,28.92
5/31/2020,29.75
6/30/2020,30.47
7/31/2020,31.97
8/31/2020,31.4
9/30/2020,30.32
10/31/2020,34.62
11/30/2020,36.01
12/31/2020,35.74
1/31/2021,36.62
2/28/2021,37.62
3/31/2021,38.74
4/30/2021,40.13
5/31/2021,39.45
6/30/2021,39.58
7/31/2021,40.05
8/31/2021,38.7
9/30/2021,39.96
10/31/2021,38.18
11/30/2021,38.34
12/3/2021,38.34
