Date,Close
12/31/2011,45.54
1/31/2012,47.71
2/29/2012,48.27
3/31/2012,47.7
4/30/2012,43.44
5/31/2012,45.67
6/30/2012,46
7/31/2012,47.14
8/31/2012,48.03
9/30/2012,47.74
10/31/2012,48.47
11/30/2012,49.42
12/31/2012,51.4
1/31/2013,51.24
2/28/2013,52.28
3/31/2013,53.68
4/30/2013,53.38
5/31/2013,51.51
6/30/2013,54.17
7/31/2013,52.84
8/31/2013,55.55
9/30/2013,57.61
10/31/2013,58.5
11/30/2013,59.4
12/31/2013,56.76
1/31/2014,59.72
2/28/2014,59.67
3/31/2014,60.11
4/30/2014,61.34
5/31/2014,62.23
6/30/2014,61.14
7/31/2014,62.76
8/31/2014,60.38
9/30/2014,60.95
10/31/2014,61.72
11/30/2014,60.12
12/31/2014,59.14
1/31/2015,62.66
2/28/2015,61.59
3/31/2015,63.16
4/30/2015,63.37
5/31/2015,61.52
6/30/2015,61.83
7/31/2015,57.73
8/31/2015,55.31
9/30/2015,59.34
10/31/2015,59.29
11/30/2015,57.62
12/31/2015,54.24
1/31/2016,53.64
2/29/2016,57.69
3/31/2016,58.27
4/30/2016,58.65
5/31/2016,58.07
6/30/2016,60.48
7/31/2016,60.69
8/31/2016,60.85
9/30/2016,59.65
10/31/2016,60.36
11/30/2016,61
12/31/2016,62.83
1/31/2017,64.52
2/28/2017,65.22
3/31/2017,66.28
4/30/2017,67.57
5/31/2017,67.53
6/30/2017,69.32
7/31/2017,69.61
8/31/2017,70.72
9/30/2017,72.21
10/31/2017,73.58
11/30/2017,74.26
12/31/2017,78.33
1/31/2018,74.85
2/28/2018,73.63
3/31/2018,73.94
4/30/2018,74.36
5/31/2018,73.37
6/30/2018,75.48
7/31/2018,76.13
8/31/2018,75.83
9/30/2018,69.9
10/31/2018,71.11
11/30/2018,65.46
12/31/2018,70.69
1/31/2019,72.68
2/28/2019,73.17
3/31/2019,75.71
4/30/2019,71.19
5/31/2019,75.16
6/30/2019,75.16
7/31/2019,73.58
8/31/2019,74.82
9/30/2019,76.91
10/31/2019,78.88
11/30/2019,80.99
12/31/2019,79.73
1/31/2020,73.97
2/29/2020,62.8
3/31/2020,69.31
4/30/2020,72.92
5/31/2020,74.8
6/30/2020,78.76
7/31/2020,83.49
8/31/2020,80.64
9/30/2020,78.99
10/31/2020,88.76
11/30/2020,92.58
12/31/2020,92.37
1/31/2021,94.84
2/28/2021,97.29
3/31/2021,101.31
4/30/2021,102.91
5/31/2021,103.61
6/30/2021,104.25
7/31/2021,106.61
8/31/2021,101.83
9/30/2021,107.07
10/31/2021,104.27
11/30/2021,103.79
12/3/2021,103.79
