Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,36.740002,36.750000,36.070000,36.259998,35.951344,5577000
2021-01-05,36.349998,36.720001,36.349998,36.639999,36.328110,2710300
2021-01-06,36.660000,37.200001,36.660000,37.029999,36.714790,3128100
2021-01-07,37.000000,37.169998,36.970001,37.150002,36.833771,2577700
2021-01-08,37.450001,37.540001,37.139999,37.529999,37.210533,2945000
2021-01-11,36.849998,37.169998,36.849998,37.060001,36.744537,2246600
2021-01-12,37.020000,37.240002,36.919998,37.220001,36.903175,2678900
2021-01-13,37.169998,37.240002,37.080002,37.160000,36.843685,2345600
2021-01-14,37.290001,37.529999,37.279999,37.430000,37.111385,2620500
2021-01-15,36.950001,37.000000,36.630001,36.840000,36.526409,2862800
2021-01-19,37.130001,37.139999,36.939999,37.090000,36.774281,3145700
2021-01-20,37.169998,37.360001,37.090000,37.360001,37.041981,2868700
2021-01-21,37.400002,37.439999,37.189999,37.419998,37.101471,2160200
2021-01-22,37.070000,37.230000,37.040001,37.160000,36.843685,2531400
2021-01-25,36.950001,37.169998,36.720001,37.169998,36.853596,3100600
2021-01-26,37.180000,37.209999,37.040001,37.169998,36.853596,2299500
2021-01-27,36.500000,36.650002,36.169998,36.259998,35.951344,3619400
2021-01-28,36.369999,36.759998,36.360001,36.549999,36.238876,3100800
2021-01-29,36.110001,36.209999,35.599998,35.740002,35.435772,4724200
2021-02-01,36.240002,36.290001,36.060001,36.250000,35.941429,2863900
2021-02-02,36.480000,36.669998,36.389999,36.650002,36.338028,2126700
2021-02-03,36.700001,36.779999,36.560001,36.759998,36.447086,2094900
2021-02-04,36.619999,36.759998,36.549999,36.740002,36.427261,2002200
2021-02-05,36.980000,37.040001,36.820000,37.020000,36.704876,1978600
2021-02-08,37.230000,37.340000,37.150002,37.279999,36.962662,3411600
2021-02-09,37.299999,37.500000,37.270000,37.470001,37.151047,2303500
2021-02-10,37.599998,37.619999,37.209999,37.369999,37.051895,3697800
2021-02-11,37.580002,37.630001,37.430000,37.610001,37.289856,2519000
2021-02-12,37.529999,37.820000,37.490002,37.820000,37.498066,1912300
2021-02-16,38.119999,38.200001,37.980000,38.049999,37.726109,2435100
2021-02-17,37.770000,37.880001,37.610001,37.840000,37.517895,2552400
2021-02-18,37.540001,37.639999,37.320000,37.610001,37.289856,1854600
2021-02-19,37.790001,37.919998,37.709999,37.790001,37.468323,1932000
2021-02-22,37.590000,37.860001,37.580002,37.650002,37.329514,3158700
2021-02-23,37.570000,37.779999,37.230000,37.700001,37.379089,3993300
2021-02-24,37.400002,37.849998,37.349998,37.810001,37.488152,2811000
2021-02-25,37.910000,37.990002,37.090000,37.180000,36.863514,3708800
2021-02-26,37.049999,37.049999,36.590000,36.619999,36.308281,6025900
2021-03-01,37.080002,37.369999,37.070000,37.340000,37.022152,3313400
2021-03-02,37.270000,37.419998,37.169998,37.299999,36.982491,3293600
2021-03-03,37.200001,37.360001,37.029999,37.080002,36.764366,3067700
2021-03-04,37.080002,37.270000,36.480000,36.720001,36.407433,4923600
2021-03-05,36.990002,37.049999,36.430000,37.009998,36.694962,4363200
2021-03-08,36.820000,37.099998,36.740002,36.840000,36.526409,4840400
2021-03-09,37.270000,37.419998,37.180000,37.299999,36.982491,3904100
2021-03-10,37.459999,37.520000,37.270000,37.480000,37.160961,2624000
2021-03-11,37.630001,37.790001,37.540001,37.730000,37.408833,2474700
2021-03-12,37.529999,37.830002,37.500000,37.830002,37.507984,2189700
2021-03-15,37.790001,37.889999,37.560001,37.880001,37.557556,2728800
